0,info,,,,,control (6),,,,,,,,,,ideology,,,,,,,,,,resource mul >,-2.15,-4.2,0,1.4,0.2,3.8,1.8,0.2,tech levels,,,,assets
2v09,Immanence,The Sovereign Void,"A rocky, geologically unstable planet, the first records of Immanence's name are from a survey ship passing the planet during the Great Crusade. From orbit, it seems that there are widespread tunnels and underground spaces underneath the planet's surface. Scanner signatures suggest these might be inhabited.","There is something strange about the inhabitants of Immanence. Their rituals and practices make the planet feel like a Church world, but its unlikely a Church emissary would recognize any of them. There are massive Fracture engines built directly into the crust of the planet for unknown purposes.",hiding,0,0,0,0,0,0,0,0,0.54,,0,0.14,0.07,0,0.09,0.17,0,0,0.02,0.01,0.5,1,1,1,1,1,1,1,1,3,2,2,78,3
3f01,The Fall of the Dacei,The Crusader's Folly,description1,description2,connected,0,0.01,0.01,0,0,0.57,0.01,0.01,0,,0.03,0.01,0.37,0,0.17,0,0,0.26,0.08,0.02,0.06,0.9,1.2,1,1,1,1,1,1,1,1,1,135,1
3f02,Tranquillity,The Crusader's Folly,description1,description2,connected,0,0.64,0.01,0.01,0.01,0.01,0.01,0,0,,0.02,0,0.28,0.08,0.21,0,0.01,0.15,0.09,0.07,0.09,0.1,0.1,1,1,1,2,1.5,1,3,4,1,0.07,3
3f03,Tyche,The Crusader's Folly,description1,description2,hiding,0,0,0,0,0,0,0,0,0.1,,0,0.1,0.02,0,0.23,0.21,0,0,0.06,0.08,0.3,1,1,1,1.1,1,1,1,1,2,2,2,46,3
4s01,New Mercury,The Seat of Mercury,description1,description2,connected,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.05,0,,0.12,0.07,0.06,0.09,0.03,0,0.11,0.43,0.04,0.04,0.01,0.8,0.8,1,1,1,1,1,1,4,4,4,4625,4
4s02,Plentiful Harvest,The Seat of Mercury,description1,description2,connected,0,0,0.05,0,0,0,0.55,0.01,0,,0.25,0,0.02,0.2,0,0,0.22,0.3,0,0,0.01,1.4,0.6,1,1,1,1,1,1,2,2,1,85,1
4s03,Grievance,The Seat of Mercury,description1,description2,connected,0,0.54,0.01,0.01,0,0,0.01,0.01,0,,0.09,0.13,0.12,0,0.11,0,0.28,0.22,0.01,0.01,0.03,0.8,0.8,1,1,1,1,1,1,1,1,1,328,2
4s04,The Glory of the Unknown,The Seat of Mercury,description1,description2,connected,0,0,0,0.57,0,0.01,0,0,0,,0.02,0.15,0.07,0.03,0.2,0.02,0,0.2,0.1,0.15,0.06,1.4,0.6,1,1.1,1,1,1,1,3,3,2,554,2
4s05,Ceres,The Seat of Mercury,description1,description2,connected,0,0.01,0.01,0.01,0,0,0,0.1,0,,0.34,0,0,0,0.05,0.16,0,0.25,0.01,0.01,0.18,1.2,0.9,1,1,1,1,1,1,0,0,0,8,0
4s06,The Sword of Mercy,The Seat of Mercury,description1,description2,connected,0,0,0.59,0,0,0,0.01,0.05,0,,0.2,0,0,0,0.03,0,0.11,0.6,0.02,0.03,0.01,0.9,1.2,1,1,1,1,1,1,2,2,2,23,2
4s07,Euphrosyne,The Seat of Mercury,description1,description2,connected,0,0.01,0.03,0.01,0,0,0,0.01,0,,0.16,0.13,0.08,0,0.08,0.01,0.14,0.36,0.01,0.01,0.02,0.7,0.6,1,1,1,1,1,1,3,3,3,1658,3
4s08,The Shield of Empire,The Seat of Mercury,description1,description2,connected,0,0,0.52,0,0,0,0,0.1,0,noble3,0.3,0,0,0.07,0.01,0,0.07,0.5,0.02,0.02,0.01,0.9,1.5,1,1,1,1,1,1,3,3,3,483,3
4s09,Eschaton,The Seat of Mercury,description1,description2,connected,0,0,0.02,0,0,0,0,0.9,0,church,0.6,0,0,0.08,0.01,0,0,0.3,0,0,0.01,1.2,1.2,1,1,1,1,0.8,1,2,2,3,1905,4
4s10,The Beauty of Suffering,The Seat of Mercury,description1,description2,connected,0,0,0.02,0,0,0,0,0.57,0,,0.48,0,0.01,0.04,0,0.11,0,0.31,0.01,0.01,0.03,0.9,1.2,1,1,1,1,1,1,1,1,1,126,1
4s11,Loyalty Station,The Seat of Mercury,description1,description2,connected,0.02,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0,,0.08,0.08,0.21,0,0.14,0,0.11,0.15,0.1,0.06,0.07,0.1,0.1,1,1,1,2,1.5,1,3,4,2,0.02,3
5e01,Renovatio Dirae,The Martyr's Expanse,description1,description2,connected,0.55,0.01,0.01,0,0,0,0.01,0.01,0,noble1,0.03,0.1,0.05,0,0.06,0.35,0.28,0.1,0.005,0.015,0.01,0.8,1.1,1,1,1,1,1,1,3,3,3,411,3
5e02,New Alecto,The Martyr's Expanse,description1,description2,connected,0.53,0.01,0,0,0,0,0.01,0.02,0,,0.09,0,0.16,0.09,0.03,0.31,0.16,0.15,0,0,0.01,1,0.8,1,1,1,1,1,1,3,2,2,185,1
5e03,Theia,The Martyr's Expanse,description1,description2,hiding,0,0,0,0,0,0,0,0,0,,0.07,0.24,0.02,0,0,0.37,0,0.05,0.01,0.01,0.23,1,1,1,1,1,1,1,1,3,2,2,153,2
5e04,New Megaera,The Martyr's Expanse,description1,description2,connected,0.62,0,0,0,0,0,0.01,0,0,,0.03,0.14,0.06,0,0.02,0.47,0,0.06,0,0.02,0.2,1.1,0.9,1,1,1,1,1,1,2,2,2,272,3
5e05,Chiron,The Martyr's Expanse,description1,description2,hiding,0.01,0,0,0,0,0,0,0,0,,0.01,0,0.03,0,0,0.51,0.06,0,0.06,0.05,0.28,0.9,0.9,1,1,1,1,1,1,2,1,1,64,0
5e06,Charis,The Martyr's Expanse,description1,description2,hiding,0,0,0,0,0,0,0,0,0,,0,0,0.07,0,0.1,0.48,0,0,0.07,0.06,0.22,1,1,1,1,1,1,1,1,2,1,1,229,1
5e07,Elysium,The Martyr's Expanse,description1,description2,hiding,0,0,0,0,0,0,0,0,0.01,,0,0.23,0.17,0,0.1,0.1,0,0,0.1,0.1,0.2,1.2,1.2,1,1.1,1,1,1,1,4,4,4,385,4
5e08,Arete,The Martyr's Expanse,description1,description2,hiding,0.01,0,0,0,0,0,0.01,0,0,,0.02,0.09,0.07,0,0.07,0.38,0,0,0.05,0.05,0.27,1.2,1,1,1,1,1,1,1,1,1,1,32,0
5e09,Andromache,The Martyr's Expanse,description1,description2,connected,0.1,0,0,0,0,0,0.01,0.01,0,,0.1,0,0,0,0.02,0.67,0,0.05,0,0,0.16,1.1,1,1,1,1,1,1,1,0,0,0,16,0
6t01,Bounty of Peace,The Terminus Sea,description1,description2,connected,0.01,0,0,0,0,0,0.6,0,0,guild3,0.02,0,0.15,0,0.11,0.27,0,0.05,0.13,0.07,0.2,0.8,1.3,1,1,1,1,1,1,3,3,2,205,3
6t02,Eos,The Terminus Sea,description1,description2,hiding,0,0,0,0,0,0,0.07,0,0.01,,0,0.14,0,0,0.18,0.28,0,0,0.02,0.02,0.36,1.4,0.7,1,1,1,1,1,1,2,1,1,83,0
6t03,The Terminus,The Terminus Sea,description1,description2,connected,0,0,0,0,0,0,0.01,0,0.01,,0.03,0,0.07,0.25,0.02,0.3,0.09,0.01,0.04,0.04,0.15,1.1,1,1,1,1,1,1,1,2,2,2,165,1
6t04,Catena,The Terminus Sea,description1,description2,hiding,0,0,0,0,0,0,0,0,0.14,,0,0,0,0,0,0.42,0,0,0,0,0.58,1,0.9,1,1,1,1,1,1,2,1,1,251,1
6t05,Antares,The Terminus Sea,description1,description2,hiding,0,0,0,0,0,0,0,0,0,,0,0.35,0.03,0,0.1,0.2,0,0,0.01,0.01,0.3,1.2,1.2,1,1,1,1,1,1,2,2,1,11,0
7i01,Model Colony No. 2,Interior Structure,description1,description2,connected,0,0,0,0,0.6,0,0,0,0,guild1,0,0,0.12,0,0.4,0,0,0,0.1,0.06,0.32,1.4,0.8,1,1.1,1,1,1,1,4,2,2,462,3
7i02,Asterion,Interior Structure,description1,description2,hiding,0,0,0,0,0.73,0,0,0,0.01,,0,0.16,0,0,0.5,0.05,0,0,0.14,0.09,0.06,1,1.2,1,1,1,1,1,1,3,1,1,88,0
7i03,Far Shore,Interior Structure,description1,description2,lost,0,0,0,0,0,0,0,0,0.05,,0.08,0,0,0.05,0.02,0.2,0,0.3,0,0.14,0.21,1,1,1,1,1,1,1,1,2,1,1,113,0
7i04,Eternal Victory,Interior Structure,description1,description2,connected,0,0,0.84,0,0,0,0,0,0,,0.26,0,0,0,0.01,0.1,0.1,0.32,0.06,0.06,0.09,1,0.8,1,1.1,1,1,1,1,2,2,2,181,2
7i05,Melancholia,Interior Structure,description1,description2,hiding,0,0,0,0,0,0,0,0,0,,0,0.06,0,0,0.07,0.25,0.21,0.03,0.01,0.01,0.36,1,0.9,1,1,1,1,1,1,2,1,1,37,1
7i06,Eden,Interior Structure,description1,description2,lost,0,0,0,0,0,0,0,0.55,0.01,,0.4,0,0,0,0,0.12,0.07,0.2,0,0.07,0.14,0.9,1,1,1,1,1,1,1,1,1,1,38,0
7i07,Model Colony No. 3,Interior Structure,description1,description2,lost,0,0,0,0,0,0,0,0,0.15,,0,0.22,0,0,0.13,0.29,0,0,0,0.01,0.35,1,0.9,1,1.1,1,1,1,1,2,1,1,98,0
7i08,New Earth,Interior Structure,description1,description2,hiding,0,0,0,0,0,0,0,0,0.9,heretic,0,0.2,0,0,0,0.2,0,0,0.05,0,0.55,1.2,1.2,1,1.2,1,1,1,1,4,3,3,73,4
DATAEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
