0	info					control (6)										ideology										resource mul >	-2.85	-4.2	0	1.4	0.2	3.8	1.8	-0.15	tech levels				assets
3f01	The Fall of the Dacei	The Crusader's Folly	Actually named The Glory of the Dacei, but nobody calls it that. The planet represents an early victory for the Dacei, awarding the Family exclusive trading rights in exchange for moving a lot of business there, and even granting the Family naming rights. Since then, the planet has proven to be an eternal source of woe, hit with a crisis after crisis. The planet represents the first and last time the Family made a highly visible power play in the sector.	TODO	Connected	0	0.01	0.01	0	0	0.57	0.01	0.01	0		0.03	0.01	0.37	0	0.17	0	0	0.26	0.08	0.02	0.06	0.9	1.2	1	1	1	1	1	1	1	1	1	135	1
3f02	Tranquillity	The Crusader's Folly	A space station built out of the first fleet of the Great Crusade trying to cross the Folly. The remnant fleet was tied together into a forward base that bridged the gap into the Seat of Mercury. Tranquillity is technically part of the Imperium's transport infrastructure, but in practice it's controlled by House Rathmund who utilizes the transfer point for its volume of cargo, diplomats, politicians and other people who're not currently in favor but might have a use later on.	TODO	Connected	0	0.64	0.01	0.01	0.01	0.01	0.01	0	0		0.02	0	0.28	0.08	0.21	0	0.01	0.15	0.09	0.07	0.09	0.1	0.1	1	1	1	2	1.5	1	3	4	1	0.07	3
3f03	Tyche	The Crusader's Folly	A relatively recently colonized world, Tyche was settled by members of a rebel faction of the Everlasting Union. Populated using the Union's cloning technology, Tyche represents a desire to turn away from the Fracture and build societies through social engineering. Its citizens come from a very narrow gene pool.	TODO	Hiding	0	0	0	0	0	0	0	0	0.008		0	0.1	0.02	0	0.23	0.21	0	0	0.06	0.08	0.3	1	1	1	1.1	1	1	1	1	2	2	2	46	3
4s01	New Mercury	The Seat of Mercury	A one-time world at the very frontier of human settlement on the sector, New Mercury has left its rough origins long behind. The Great Crusade reached the world after a grueling battle against the Furia, helping the planet to obtain very favorable terms for its inclusion in the Imperium. Its wealth and population are the result of an open doors policy in the years after the Crusade, as many former enemies of the Imperium were transformed into loyal citizens in a system that dodn't look too closely at anyone's past.	TODO	Connected	0.01	0.02	0.05	0.02	0.01	0.01	0.01	0.05	0		0.12	0.07	0.06	0.09	0.03	0	0.11	0.43	0.04	0.04	0.01	0.8	0.8	1	1	1	1	1	0.95	4	4	4	4625	4
4s02	Plentiful Harvest	The Seat of Mercury	An originally independent agricultural world, a large portion of Plentiful Harvest's assets have been acquired by the Coruna Cartel. Part of the same original individualist frontier settlement culture as New Mercury, the planet's citizens still retain some of the spirit of surviving on one's own. Some of the black market opiates are also traced back to this planet.	TODO	Connected	0	0	0.05	0	0	0	0.55	0.01	0		0.25	0	0.02	0.2	0	0	0.22	0.3	0	0	0.01	1.4	0.6	1	1	1	1	1	1	2	2	1	85	1
4s03	Grievance	The Seat of Mercury	A world settled by religious separatists fleeing the Imperium, Grievance experienced a long and bloody war of succession to decide who would be the hereditary ruler. The planet's governance is currently held in trust by House Rathmund following an Imperial edict issued after the House failed to fulfil its tax quota.	TODO	Connected	0	0.54	0.01	0.01	0	0	0.01	0.01	0		0.09	0.13	0.12	0	0.11	0	0.28	0.22	0.01	0.01	0.03	0.8	0.8	1	1	1	1	1	1	1	1	1	328	2
4s04	The Glory of the Unknown	The Seat of Mercury	Discovered by the Valeria exploration ship it's named after, the Glory of the Unknown has a surprisingly large population for an agricultural planet. Helped by House Valeria's transport capabilities, the planet is the second major producer of entertainment on the sector, behind only New Mercury. Houses a Brotherhood Academy.	TODO	Connected	0	0	0	0.57	0	0.01	0	0	0		0.02	0.15	0.07	0.03	0.2	0.02	0	0.2	0.1	0.15	0.06	1.3	0.6	1	1.1	1	1	1	1	3	3	2	554	2
4s05	Ceres	The Seat of Mercury	Settled by Furia refugees fleeing the Great Crusade, scarcity of resources and essential skills made Ceres lose its spaceflight capability soon after initial colonization. The planet is in some contact with visiting merchants, but for most people on the sector, it's a backwater.	TODO	Connected	0	0.01	0.01	0.01	0	0	0	0.1	0		0.34	0	0	0	0.05	0.16	0	0.25	0.01	0.01	0.18	1.2	0.9	1	1	1	1	1	1	0	0	0	8	0
4s06	The Sword of Mercy	The Seat of Mercury	The site of a famous battle between the Great Crusade and House Furia. The planet was renamed after the command ship of the fleet fighting on the Imperial side. The planet retains a strong Tarquinia presence, and is also known for its strong institutions of learning.	TODO	Connected	0	0	0.59	0	0	0	0.01	0.05	0		0.2	0	0	0	0.03	0	0.11	0.6	0.02	0.03	0.01	0.9	1.2	1	1	1	1	1	1	2	2	2	23	2
4s07	Euphrosyne	The Seat of Mercury	Known as the "second capital" of the sector, Euphrosyne represented New Mercury's only real competition for the most important planet on the sector. A decade ago, this changed as the planet's economic growth stalled and then reversed following the depletion of many of its natural recources and general environmental mismanagement. Now, Euphrosyne is a major source of immigration.	TODO	Connected	0	0.01	0.03	0.01	0	0	0	0.01	0		0.16	0.13	0.08	0	0.08	0.01	0.14	0.36	0.01	0.01	0.02	0.7	0.6	1	1	1	1	1	1	3	3	3	1658	3
4s08	The Shield of Empire	The Seat of Mercury	Named after an Imperial warship, the planet was heavily bombarded from orbit during the Great Crusade. Despite this, it managed an impressive recovery and is now one of the strongholds of Imperial sentiment on the sector. House Tarquinia invested heavily in rebuilding the planet and has large holdings there.	TODO	Connected	0	0	0.52	0	0	0	0	0.1	0	noble3	0.3	0	0	0.07	0.01	0	0.07	0.5	0.02	0.02	0.01	0.9	1.5	1	1	1	1	1	1	3	3	3	483	3
4s09	Eschaton	The Seat of Mercury	The capital of the church on the sector, Eschaton has been developed aggressively with church money until the sector's separation from the rest of the Imperium. As a result, Eschaton is a beautiful, prosperous and pious world known for its monasteries, religious retreats but also banks. It's supposed to be a representation of the church's vision for humanity.	TODO	Connected	0	0	0.02	0	0	0	0	0.9	0	church	0.6	0	0	0.08	0.01	0	0	0.3	0	0	0.01	0.95	1.2	1	1	1	1	0.8	0.7	2	2	3	1905	4
4s10	The Beauty of Suffering	The Seat of Mercury	For Eschaton to remain pure and clean, many of the Church's more brutal operations are run from The Beauty of Suffering. Named after a Church idea of suffering as a personal virtue, the planet houses prisons, Church-owned industry, the religious courts and monasteries dedicated specifically to issues related to the Fracture.	TODO	Connected	0	0	0.02	0	0	0	0	0.57	0		0.48	0	0.01	0.04	0	0.11	0	0.31	0.01	0.01	0.03	0.85	1.2	1	1	1	1	1	1	1	1	1	126	1
4s11	Loyalty Station	The Seat of Mercury	The only major space station constructed locally in the sector, Loyalty Station used to service New Mercury and Euphrosyne until it was commandeered by the Great Crusade and given over to House Tarquinia. Recently, its Tarquinian representatives were poisoned and its civilian administator called in House Rathmund to hold it in trust until the issue was resolved.	TODO	Connected	0.02	0.6	0.01	0.01	0.01	0.01	0.01	0.01	0		0.08	0.08	0.21	0	0.14	0	0.11	0.15	0.1	0.06	0.07	0.1	0.1	1	1	1	2	1.5	1	3	4	2	0.02	3
5e01	Renovatio Dirae	The Martyr's Expanse	The subsector capital and current homeworld of House Furia. The third planet to be called Dirae. Originally a minor mining colony, the planet was taken over by the Furia in the last days of the Great Crusade, shortly before the Furia surrender. Following the concentration of Furia wealth on the planet, its development has been extremely rapid.	TODO	Connected	0.55	0.01	0.01	0	0	0	0.01	0.01	0	noble1	0.03	0.1	0.05	0	0.06	0.35	0.28	0.1	0.005	0.015	0.01	0.8	1.1	1	1	1	1	1	1	3	3	3	411	3
5e02	New Alecto	The Martyr's Expanse	A successful Furia colony worlds following its settlement after the Great Crusade, New Alecto has recently been hit with an extinction level event in the form of an old Imperial weapons platform accidentally launching an orbital attack against it. The planet is the focus of Furia crisis recovery efforts and a source of refugees for neighboring worlds.	TODO	Connected	0.53	0.01	0	0	0	0	0.01	0.02	0		0.09	0	0.16	0.09	0.03	0.31	0.16	0.15	0	0	0.01	1	0.8	1	1	1	1	1	1	3	2	2	185	1
5e03	Theia	The Martyr's Expanse	Colonized a few decades before the Great Crusade, Theia dropped off the map in the chaos of the last fights between the Furia and the Imperium. Since then, the planet has adopted an isolationist policy and focused on a number of internal land wars that have consumed its resources and despoiled its environment. Planetary elites are debating re-establishing contact with the Imperium as their economy starts to struggle.	TODO	Hiding	0	0	0	0	0	0	0	0	0		0.07	0.24	0.02	0	0	0.37	0	0.05	0.01	0.01	0.23	1	1	1	1	1	1	1	1	3	2	2	153	2
5e04	New Megaera	The Martyr's Expanse	While Renovatio Dirae is the administrative center of House Furia, many of its most prominent members live on the planet New Megaera, famed for its natural beauty. Most of the planet's inhabitants live in tightly controlled slums to ensure that much of the planet remains an untouched wilderness suitable for Furia hunting expeditions.	TODO	Connected	0.62	0	0	0	0	0	0.01	0	0		0.03	0.14	0.06	0	0.02	0.47	0	0.06	0	0.02	0.2	1.1	0.9	1	1	1	1	1	1	2	2	2	272	3
5e05	Chiron	The Martyr's Expanse	A colony built by religious refugees from the Imperium after the initial decades of colonization in the sector, Chiron was known for its repressive religious practices, bordering on heresy even after the planet joined the Imperium in the wake of the Great Crusade. Shortly before the Disjunction, the planet was ravaged by an epidemic resulting in a quarantine. The epidemic is long gone, but the planet has yet to re-establish contact.	TODO	Hiding	0.01	0	0	0	0	0	0	0	0		0.01	0	0.03	0	0	0.51	0.06	0	0.06	0.05	0.28	0.9	0.9	1	1	1	1	1	1	2	1	1	64	0
5e06	Charis	The Martyr's Expanse	The original colony destroyed as the Imperium designated the planet as a prison world after the Great Crusade, people on Charis have long harbored a deep distrust of the Imperium. Either descendants of prisoners or the original, mistreated colonists, the planet's citizens have maintained a policy of isolation long enough for it to be largely forgotten. Even the Imperial prisons were closed a long time ago.	TODO	Hiding	0	0	0	0	0	0	0	0	0		0	0	0.07	0	0.1	0.48	0	0	0.07	0.06	0.22	1	1	1	1	1	1	1	1	2	1	1	229	1
5e07	Elysium	The Martyr's Expanse	A prosperous planet hiding from the Imperium, Elysium's colonization predates even the arrival of the Furia in the sector. It was terraformed by one of the early seed ships to leave the Earth and settled by colonizers who had spent an eternity in cryosleep. Elysium's inhabitants have little experience with Fracture technology and represent an antique human genotype.	TODO	Hiding	0	0	0	0	0	0	0	0	0.008		0	0.23	0.17	0	0.1	0.1	0	0	0.1	0.1	0.2	1.05	1.2	1	1.1	1	1	1	1	4	4	4	385	4
5e08	Arete	The Martyr's Expanse	The Imperial warship Spear of Longinus crashed onto Arete in the last days of the Great Crusade. Arete was barely habitable at the time, and the Imperium failed to locate its missing ship. The stranded warship's crew formed the planet's initial settlers, striving st first to regain spaceflight capability but then building lives outside the reach of the Imperium. The planet's culture is a strange look back in time to how things were at the time of the Crusade.	TODO	Hiding	0.01	0	0	0	0	0	0.01	0	0		0.02	0.09	0.07	0	0.07	0.38	0	0	0.05	0.05	0.27	1.2	1	1	1	1	1	1	1	1	1	1	32	0
5e09	Andromache	The Martyr's Expanse	An early independently settled colony, Andromache's only spaceflight capability is from a series of antique shuttles. It has never officially joined the Imperium and maintains a strong nationalist rhetoric, made possible by the fact that Imperial officials use it as a tax haven to hide corruption windfall.	TODO	Connected	0.1	0	0	0	0	0	0.01	0.01	0		0.1	0	0	0	0.02	0.67	0	0.05	0	0	0.16	1.1	1	1	1	1	1	1	1	0	0	0	16	0
6t01	Bounty of Peace	The Terminus Sea	Until recently a world in perpetual crisis, Bounty of Peace now playes host to the Coruna Cartel's head office. The Cartel is strong on the planet after investing heavily in local industry. The Cartel has exercised its power by renaming the planet to reflect the idea that trade brings peace, although in truth the Cartel's acquisition spree has been fuelled by assassination and bribery.	TODO	Connected	0.01	0	0	0	0	0	0.6	0	0	guild3	0.02	0	0.15	0	0.11	0.27	0	0.05	0.13	0.07	0.2	0.8	1.3	1	1	1	1	1	1	3	3	2	205	3
6t02	Eos	The Terminus Sea	An ocean planet with only minimal land area, the agriculture on Eos is largely based around seaweed. Settled as part of a Valeria marine research program, the planet has developed an independent population living in fleets of perpetually mobile ships. The planet has kept contact with the Imperium at minimum following a disastrous pogrom conducted by the Church shortly before the Disjunction.	TODO	Hiding	0	0	0	0	0	0	0.07	0	0.008		0	0.14	0	0	0.18	0.28	0	0	0.02	0.02	0.36	1.4	0.7	1	1	1	1	1	1	2	1	1	83	0
6t03	The Terminus	The Terminus Sea	A barely habitable world, The Terminus was colonized in the aftermath of the Great Crusade to ensure that the Imperium's reach encompasses the entire sector. Famous for its underground farms and eternal ice storms, the planet's distance from the sector administrative center has allowed it to develop and prosper largely without interference.	TODO	Connected	0	0	0	0	0	0	0.01	0	0.008		0.03	0	0.07	0.25	0.02	0.3	0.09	0.01	0.04	0.04	0.15	1.05	1	1	1	1	1	1	1	2	2	2	165	1
6t04	Catena	The Terminus Sea	The most populated planet on the subsector, Catena is home to significant anti-Imperium sentiment. Locals blame the Imperium's taxes for the sorry state of their economy, and the planet has stopped all communications to the rest of the sector in a bid to establish its independence. A project to build a fleet to fight the Imperium's forces places further drain on the planet's resources.	TODO	Hiding	0	0	0	0	0	0	0	0	0.14		0	0	0	0	0	0.42	0	0	0	0	0.58	1	0.9	1	1	1	1	1	1	2	1	1	251	1
6t05	Antares	The Terminus Sea	Populated by colonizers carried by a seed ship operated by the Rathmund predecessors the Void Syndicate, left to drift in the Fracture and emerging here centuries later. The population deviates significantly from the basic human genotype, and for this reason has kept a low profile on the sector.	TODO	Hiding	0	0	0	0	0	0	0	0	0		0	0.35	0.03	0	0.1	0.2	0	0	0.01	0.01	0.3	1.2	1.2	1	1	1	1	1	1	2	2	1	11	0
7i01	Model Colony No. 2	Interior Structure	Second in the series of model colonies created by the Everlasting Union, No. 2 is the most successful. The Union's Guiding Assembly is located there, and its citizens live within the Union's idea of how a society should be structured in a world where humanity leaves behind the shackles of its genotype.	TODO	Connected	0	0	0	0	0.6	0	0	0	0	guild1	0	0	0.12	0	0.4	0	0	0	0.1	0.06	0.32	1.2	0.8	1	1.1	1	1	1	1	4	2	2	462	3
7i02	Asterion	Interior Structure	Asterion was a failed and abandoned Furia colony until some 60 years ago it was settled by the Everlasting Union in secret. An experimental world was created outside Union's Model Colony program, the goal with Asterion has been to promote industrial specialization through radical changes in what a human is. Controversial within the Union because of the way individuals have been harnessed to the goal of industrial production in a manner that echoes the old cruelties of the Furia, Asterion has nevertheless been a success in terms of production output.	TODO	Hiding	0	0	0	0	0.73	0	0	0	0.008		0	0.16	0	0	0.5	0.05	0	0	0.14	0.09	0.06	0.9	1.2	1	1	1	1	1	1	3	1	1	88	0
7i03	Far Shore	Interior Structure	A religious colony created by a monastic Church group, Far Shore has experienced a lot of turbulence in its half a century of existence. The original idea of creating a new type of human who wouldn't live in temptation of the Fracture was complicated by the many Fracture incursions the planet has experienced. A recent revolution among the colonists has deposed the original religious order ruling it, and the inhabitants have a strong desire to rejoin the Imperium, if only they could.	TODO	Lost	0	0	0	0	0	0	0	0	0.05		0.08	0	0	0.05	0.02	0.2	0	0.3	0	0.14	0.21	1	1	1	1	1	1	1	1	2	1	1	113	0
7i04	Eternal Victory	Interior Structure	The very last planet to fall to the Great Crusade, Eternal Victory is the site of a preposterous monument financed by the Tarquinia and built using prisoners of war. It's a vast obsidian pyramid topped by a white pillar of light visible from orbit. Eternal Victory's bad location and the drain on resources of constructing the pyramid have crippled the local economy, and the presence of so many Tarquinia nobles has not helped. Locals belong to three categories: loyal citizens include nobility and those working for them. They live in the cities. Neutral citizens work the fields and the mines in near destitution. Disloyal citizens are held in prison camps or sent to the mountains, and starve in large quantities.	TODO	Connected	0	0	0.84	0	0	0	0	0	0		0.26	0	0	0	0.01	0.1	0.1	0.32	0.06	0.06	0.09	1	0.8	1	1.1	1	1	1	1	2	2	2	181	2
